T03,Population growth and indicators of fertility and mortality,,,,,
143,Central Asia,2025,"Under five mortality rate for both sexes (per 1,000 live births)",16.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
143,Central Asia,2025,Life expectancy at birth for both sexes (years),72.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
143,Central Asia,2025,Life expectancy at birth for males (years),69.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
143,Central Asia,2025,Life expectancy at birth for females (years),76.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2010,Population annual rate of increase (percent),0.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
30,Eastern Asia,2010,Total fertility rate (children per women),1.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2010,"Under five mortality rate for both sexes (per 1,000 live births)",15.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
30,Eastern Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",33,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
30,Eastern Asia,2010,Life expectancy at birth for both sexes (years),76.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2010,Life expectancy at birth for males (years),73.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2010,Life expectancy at birth for females (years),79.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2015,Population annual rate of increase (percent),0.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
30,Eastern Asia,2015,Total fertility rate (children per women),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2015,"Under five mortality rate for both sexes (per 1,000 live births)",10.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
30,Eastern Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",26,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
30,Eastern Asia,2015,Life expectancy at birth for both sexes (years),78.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2015,Life expectancy at birth for males (years),75.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2015,Life expectancy at birth for females (years),80.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2020,Population annual rate of increase (percent),0.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
30,Eastern Asia,2020,Total fertility rate (children per women),1.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2020,"Under five mortality rate for both sexes (per 1,000 live births)",7.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
30,Eastern Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",24,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
30,Eastern Asia,2020,Life expectancy at birth for both sexes (years),78.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2020,Life expectancy at birth for males (years),76.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2020,Life expectancy at birth for females (years),82.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2025,Population annual rate of increase (percent),-0.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
30,Eastern Asia,2025,Total fertility rate (children per women),1.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2025,"Under five mortality rate for both sexes (per 1,000 live births)",7.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
30,Eastern Asia,2025,Life expectancy at birth for both sexes (years),79.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2025,Life expectancy at birth for males (years),76.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
30,Eastern Asia,2025,Life expectancy at birth for females (years),82.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2010,Population annual rate of increase (percent),1.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
62,South-central Asia,2010,Total fertility rate (children per women),2.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2010,"Under five mortality rate for both sexes (per 1,000 live births)",59.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
62,South-central Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",210,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
62,South-central Asia,2010,Life expectancy at birth for both sexes (years),67.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2010,Life expectancy at birth for males (years),65.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2010,Life expectancy at birth for females (years),69.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2015,Population annual rate of increase (percent),1.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
62,South-central Asia,2015,Total fertility rate (children per women),2.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2015,"Under five mortality rate for both sexes (per 1,000 live births)",47.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
62,South-central Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",160,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
62,South-central Asia,2015,Life expectancy at birth for both sexes (years),69.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2015,Life expectancy at birth for males (years),67.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2015,Life expectancy at birth for females (years),71.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2020,Population annual rate of increase (percent),1.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
62,South-central Asia,2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2020,"Under five mortality rate for both sexes (per 1,000 live births)",37.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
62,South-central Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",129,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
62,South-central Asia,2020,Life expectancy at birth for both sexes (years),69.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2020,Life expectancy at birth for males (years),67.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2020,Life expectancy at birth for females (years),71.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2025,Population annual rate of increase (percent),1.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
62,South-central Asia,2025,Total fertility rate (children per women),2.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2025,"Under five mortality rate for both sexes (per 1,000 live births)",31.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
62,South-central Asia,2025,Life expectancy at birth for both sexes (years),72.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2025,Life expectancy at birth for males (years),70.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
62,South-central Asia,2025,Life expectancy at birth for females (years),74.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2010,Population annual rate of increase (percent),1.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
35,South-eastern Asia,2010,Total fertility rate (children per women),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2010,"Under five mortality rate for both sexes (per 1,000 live births)",32.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
35,South-eastern Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",168,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
35,South-eastern Asia,2010,Life expectancy at birth for both sexes (years),69.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2010,Life expectancy at birth for males (years),67.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2010,Life expectancy at birth for females (years),72.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2015,Population annual rate of increase (percent),1.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
35,South-eastern Asia,2015,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2015,"Under five mortality rate for both sexes (per 1,000 live births)",27.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
35,South-eastern Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",148,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
35,South-eastern Asia,2015,Life expectancy at birth for both sexes (years),70.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2015,Life expectancy at birth for males (years),68.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2015,Life expectancy at birth for females (years),73.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2020,Population annual rate of increase (percent),0.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
35,South-eastern Asia,2020,Total fertility rate (children per women),2.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2020,"Under five mortality rate for both sexes (per 1,000 live births)",24.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
35,South-eastern Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",134,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
35,South-eastern Asia,2020,Life expectancy at birth for both sexes (years),71.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2020,Life expectancy at birth for males (years),68.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2020,Life expectancy at birth for females (years),74.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2025,Population annual rate of increase (percent),0.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
35,South-eastern Asia,2025,Total fertility rate (children per women),1.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2025,"Under five mortality rate for both sexes (per 1,000 live births)",21.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
35,South-eastern Asia,2025,Life expectancy at birth for both sexes (years),72.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2025,Life expectancy at birth for males (years),69.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
35,South-eastern Asia,2025,Life expectancy at birth for females (years),75.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2010,Population annual rate of increase (percent),1.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
34,Southern Asia,2010,Total fertility rate (children per women),2.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2010,"Under five mortality rate for both sexes (per 1,000 live births)",61.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
34,Southern Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",217,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
34,Southern Asia,2010,Life expectancy at birth for both sexes (years),67.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2010,Life expectancy at birth for males (years),65.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2010,Life expectancy at birth for females (years),68.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2015,Population annual rate of increase (percent),1.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
34,Southern Asia,2015,Total fertility rate (children per women),2.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2015,"Under five mortality rate for both sexes (per 1,000 live births)",48.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
34,Southern Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",166,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
34,Southern Asia,2015,Life expectancy at birth for both sexes (years),69.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2015,Life expectancy at birth for males (years),67.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2015,Life expectancy at birth for females (years),70.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2020,Population annual rate of increase (percent),1.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
34,Southern Asia,2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2020,"Under five mortality rate for both sexes (per 1,000 live births)",38.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
34,Southern Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",134,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
34,Southern Asia,2020,Life expectancy at birth for both sexes (years),69.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2020,Life expectancy at birth for males (years),67.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2020,Life expectancy at birth for females (years),71.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2025,Population annual rate of increase (percent),1.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
34,Southern Asia,2025,Total fertility rate (children per women),2.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2025,"Under five mortality rate for both sexes (per 1,000 live births)",32.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
34,Southern Asia,2025,Life expectancy at birth for both sexes (years),72.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2025,Life expectancy at birth for males (years),70.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
34,Southern Asia,2025,Life expectancy at birth for females (years),74.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2010,Population annual rate of increase (percent),2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
145,Western Asia,2010,Total fertility rate (children per women),3.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2010,"Under five mortality rate for both sexes (per 1,000 live births)",27.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
145,Western Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",61,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
145,Western Asia,2010,Life expectancy at birth for both sexes (years),73.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2010,Life expectancy at birth for males (years),70.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2010,Life expectancy at birth for females (years),75.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2015,Population annual rate of increase (percent),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
145,Western Asia,2015,Total fertility rate (children per women),2.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2015,"Under five mortality rate for both sexes (per 1,000 live births)",25.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
145,Western Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",62,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
145,Western Asia,2015,Life expectancy at birth for both sexes (years),73.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2015,Life expectancy at birth for males (years),70.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2015,Life expectancy at birth for females (years),76.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2020,Population annual rate of increase (percent),1.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
145,Western Asia,2020,Total fertility rate (children per women),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2020,"Under five mortality rate for both sexes (per 1,000 live births)",21.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
145,Western Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",63,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
145,Western Asia,2020,Life expectancy at birth for both sexes (years),73.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2020,Life expectancy at birth for males (years),71.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2020,Life expectancy at birth for females (years),77.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2025,Population annual rate of increase (percent),1.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
145,Western Asia,2025,Total fertility rate (children per women),2.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
